country;type_community;marital_status;educatational;gender;age;occupation;household_compostion;support_refugees
BELGIQUE;Large town;Single: without children;98;Man;16;Student;4;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;23;Man;51;Employed position, at desk;5;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;34;Employed position, at desk;2;3
BELGIQUE;Large town;(Re-)Married: children this marriage;20;Man;49;Unskilled manual worker, etc.;4;1
BELGIQUE;Small/middle town;Widow: with children;18;Woman;53;Retired, unable to work;2;2
BELGIQUE;Small/middle town;Single liv w partner: childr this union;18;Woman;38;Employed position, service job;2;4
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;26;Man;40;Employed position, service job;2;3
BELGIQUE;Large town;(Re-)Married: children this marriage;17;Man;46;Employed position, at desk;2;1
BELGIQUE;Rural area or village;Single: without children;98;Man;23;Student;5;2
BELGIQUE;Small/middle town;Single liv w partner: without children;25;Woman;26;Employed position, at desk;2;2
BELGIQUE;Large town;Single liv w partner: without children;18;Woman;29;Unemployed, temporarily not working;1;2
BELGIQUE;Rural area or village;Single liv w partner: without children;21;Man;66;Retired, unable to work;2;2
BELGIQUE;Large town;Divorced/Separated: without children;17;Woman;62;Retired, unable to work;1;4
BELGIQUE;Rural area or village;Divorced/Separated: without children;98;Man;21;Student;2;1
BELGIQUE;Large town;Divorced/Separated: without children;18;Woman;67;Retired, unable to work;1;2
BELGIQUE;Small/middle town;Single: without children;98;Woman;20;Student;4;2
BELGIQUE;Small/middle town;Single: without children;98;Woman;18;Student;3;2
BELGIQUE;Small/middle town;Single: without children;98;Man;19;Student;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;21;Man;63;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Widow: without children;19;Woman;60;Employed position, at desk;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;16;Man;63;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;16;Man;77;Retired, unable to work;2;2
BELGIQUE;Small/middle town;Single: without children;16;Woman;32;Owner of a shop, craftsmen, etc.;1;1
BELGIQUE;Small/middle town;Divorced/Separated: with children;16;Man;53;Employed position, service job;2;3
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;21;Woman;38;Employed position, at desk;2;1
BELGIQUE;Small/middle town;Divorced/Separated: without children;18;Woman;51;Retired, unable to work;1;2
BELGIQUE;Small/middle town;Divorced/Separated: without children;20;Woman;62;Middle management, etc.;1;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;25;Man;65;Retired, unable to work;2;2
BELGIQUE;Small/middle town;Widow: without children;16;Woman;82;Retired, unable to work;1;5
BELGIQUE;Small/middle town;(Re-)Married: without children;18;Man;83;Retired, unable to work;2;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;10;Man;58;Unemployed, temporarily not working;5;2
BELGIQUE;Large town;(Re-)Married: children this marriage;22;Man;30;Unemployed, temporarily not working;2;2
BELGIQUE;Large town;Single liv w partner: childr this union;99;Woman;21;Employed position, at desk;4;2
BELGIQUE;Large town;Single liv w partner: childr this union;99;Man;22;Skilled manual worker;5;3
BELGIQUE;Large town;Single liv w partner: childr this union;18;Woman;22;Unemployed, temporarily not working;4;3
BELGIQUE;Large town;(Re-)Married: children this marriage;18;Woman;52;Unemployed, temporarily not working;3;2
BELGIQUE;Large town;Divorced/Separated: without children;17;Woman;53;Unskilled manual worker, etc.;3;4
BELGIQUE;Large town;Single liv w partner: childr this union;98;Man;18;Student;4;2
BELGIQUE;Large town;Single liv w partner: without children;18;Man;35;Employed position, service job;2;3
BELGIQUE;Small/middle town;Widow: without children;20;Man;73;Retired, unable to work;1;1
BELGIQUE;Large town;(Re-)Married: children prev marriage;23;Man;64;Retired, unable to work;4;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Man;57;Employed position, service job;4;3
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;16;Man;59;Unskilled manual worker, etc.;4;2
BELGIQUE;Large town;Single: without children;22;Man;65;Retired, unable to work;1;1
BELGIQUE;Small/middle town;Divorced/Separated: with children;25;Man;55;Unemployed, temporarily not working;2;3
BELGIQUE;Large town;Divorced/Separated: without children;19;Woman;55;Retired, unable to work;1;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;20;Woman;63;Retired, unable to work;3;2
BELGIQUE;Small/middle town;Single liv w partner: childr this/prev union;20;Woman;38;Employed position, at desk;2;3
BELGIQUE;Rural area or village;Single liv w partner: without children;21;Woman;27;Employed position, service job;2;2
BELGIQUE;Small/middle town;Single liv w partner: without children;27;Woman;49;Employed professional (employed doctor, etc.);2;2
BELGIQUE;Small/middle town;Single: without children;18;Man;25;Skilled manual worker;5;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;25;Woman;45;General management, etc.;3;2
BELGIQUE;Rural area or village;Divorced/Separated: with children;20;Woman;42;Retired, unable to work;2;3
BELGIQUE;Rural area or village;Single liv w partner: without children;21;Woman;29;Employed position, service job;1;2
BELGIQUE;Large town;Single: without children;18;Man;43;Skilled manual worker;1;1
BELGIQUE;Large town;Divorced/Separated: without children;18;Woman;50;Retired, unable to work;1;3
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;22;Man;72;Retired, unable to work;3;2
BELGIQUE;Rural area or village;Single: without children;98;Woman;18;Student;3;1
BELGIQUE;Small/middle town;Widow: without children;23;Woman;60;Middle management, etc.;1;2
BELGIQUE;Large town;(Re-)Married: children this marriage;18;Woman;48;Employed position, service job;3;4
BELGIQUE;Small/middle town;Divorced/Separated: without children;18;Woman;62;Retired, unable to work;1;3
BELGIQUE;Small/middle town;NaN;98;Man;20;Student;4;2
BELGIQUE;Large town;Single: without children;98;Man;19;Student;6;1
BELGIQUE;Large town;Single: without children;25;Woman;26;Employed position, service job;1;1
BELGIQUE;Large town;Divorced/Separated: with children;22;Man;53;Employed position, travelling;1;4
BELGIQUE;Large town;Widow: without children;98;Man;20;Student;1;4
BELGIQUE;Large town;Single: with children;20;Woman;52;Employed position, at desk;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Woman;76;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;18;Woman;47;Skilled manual worker;4;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;26;Man;51;Business proprietors, etc.;3;2
BELGIQUE;Large town;Widow: without children;19;Woman;63;Retired, unable to work;1;4
BELGIQUE;Rural area or village;Widow: without children;15;Man;63;Retired, unable to work;1;4
BELGIQUE;Rural area or village;(Re-)Married: without children;17;Woman;63;Retired, unable to work;2;4
BELGIQUE;Rural area or village;Single: without children;98;Woman;15;Student;3;1
BELGIQUE;Rural area or village;(Re-)Married: without children;14;Man;91;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;23;Man;40;Supervisor;2;2
BELGIQUE;Rural area or village;Widow: without children;14;Man;82;Retired, unable to work;1;2
BELGIQUE;Small/middle town;Single liv w partner: without children;98;Woman;21;Student;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;17;Man;64;Skilled manual worker;2;1
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;68;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Single: without children;98;Woman;16;Student;3;3
BELGIQUE;Rural area or village;(Re-)Married: without children;19;Man;64;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;14;Woman;54;Owner of a shop, craftsmen, etc.;2;2
BELGIQUE;Rural area or village;Single: without children;14;Man;79;Owner of a shop, craftsmen, etc.;1;2
BELGIQUE;Rural area or village;Single: without children;18;Woman;79;Retired, unable to work;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;21;Man;61;Retired, unable to work;2;1
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;54;Skilled manual worker;2;3
BELGIQUE;Rural area or village;(Re-)Married: without children;15;Woman;82;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;14;Woman;77;Retired, unable to work;3;3
BELGIQUE;Rural area or village;Widow: without children;14;Man;85;Retired, unable to work;1;2
BELGIQUE;Rural area or village;Single: without children;13;Man;81;Retired, unable to work;1;2
BELGIQUE;Rural area or village;Single: with children;12;Woman;60;Retired, unable to work;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;23;Man;72;Retired, unable to work;2;2
BELGIQUE;Small/middle town;(Re-)Married: without children;22;Man;52;Retired, unable to work;2;2
BELGIQUE;Large town;Single: with children;16;Woman;58;Unskilled manual worker, etc.;2;3
BELGIQUE;Large town;Single liv w partner: without children;25;Man;58;Employed position, travelling;1;4
BELGIQUE;Large town;Widow: without children;14;Man;64;Retired, unable to work;1;3
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;23;Man;40;Skilled manual worker;2;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;23;Man;57;Middle management, etc.;6;2
BELGIQUE;Small/middle town;(Re-)Married: without children;17;Man;63;Retired, unable to work;2;1
BELGIQUE;Small/middle town;Single liv w partner: without children;19;Man;55;Supervisor;1;5
BELGIQUE;Small/middle town;(Re-)Married: without children;16;Woman;72;Retired, unable to work;2;1
BELGIQUE;Rural area or village;(Re-)Married: without children;14;Man;71;Retired, unable to work;2;2
BELGIQUE;Small/middle town;Single liv w partner: without children;98;Woman;15;Student;4;3
BELGIQUE;Rural area or village;(Re-)Married: without children;14;Woman;79;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;16;Woman;77;Retired, unable to work;2;3
BELGIQUE;Rural area or village;Divorced/Separated: without children;19;Man;65;Retired, unable to work;1;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;25;Man;34;Middle management, etc.;2;2
BELGIQUE;Small/middle town;(Re-)Married: without children;25;Man;68;Retired, unable to work;2;2
BELGIQUE;Large town;Single liv w partner: childr this union;98;Man;18;Student;5;2
BELGIQUE;Large town;(Re-)Married: children this marriage;18;Man;48;Unemployed, temporarily not working;4;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Man;66;Retired, unable to work;2;3
BELGIQUE;Small/middle town;Widow: without children;14;Man;95;Retired, unable to work;1;2
BELGIQUE;Large town;(Re-)Married: without children;15;Woman;84;Retired, unable to work;1;3
BELGIQUE;Small/middle town;(Re-)Married: without children;18;Woman;55;Employed position, at desk;2;3
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;42;Employed position, at desk;3;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;40;Employed position, service job;2;2
BELGIQUE;Large town;Single liv w partner: without children;18;Man;42;Middle management, etc.;2;2
BELGIQUE;Small/middle town;Widow: without children;18;Woman;74;Retired, unable to work;1;1
BELGIQUE;Rural area or village;Single liv w partner: without children;20;Woman;28;Employed position, service job;2;2
BELGIQUE;Rural area or village;Divorced/Separated: without children;18;Woman;60;Skilled manual worker;1;2
BELGIQUE;Large town;Single liv w partner: childr prev union;99;Man;39;Business proprietors, etc.;3;4
BELGIQUE;Small/middle town;Single liv w partner: childr prev union;20;Woman;47;Employed position, at desk;2;3
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;22;Woman;29;Employed position, at desk;2;3
BELGIQUE;Large town;Single: without children;98;Man;18;Student;3;3
BELGIQUE;Small/middle town;Single: without children;23;Woman;25;Middle management, etc.;3;2
BELGIQUE;Large town;Single liv w partner: without children;23;Woman;25;General management, etc.;2;4
BELGIQUE;Rural area or village;Single liv w partner: without children;24;Woman;30;Employed position, service job;2;2
BELGIQUE;Rural area or village;Divorced/Separated: with children;43;Woman;52;Employed position, service job;3;2
BELGIQUE;Large town;Single liv w partner: childr prev union;19;Woman;42;Employed position, at desk;3;3
BELGIQUE;Large town;Single: without children;23;Woman;26;Unemployed, temporarily not working;1;2
BELGIQUE;Small/middle town;Single liv w partner: childr this/prev union;98;Woman;17;Student;3;3
BELGIQUE;Small/middle town;Single: without children;23;Woman;23;Middle management, etc.;3;2
BELGIQUE;Rural area or village;(Re-)Married: without children;20;Man;77;Retired, unable to work;2;2
BELGIQUE;Small/middle town;Single: with children;98;Man;16;Student;3;5
BELGIQUE;Small/middle town;Single: without children;21;Man;21;Employed position, at desk;3;2
BELGIQUE;Small/middle town;Divorced/Separated: without children;15;Man;62;Retired, unable to work;1;3
BELGIQUE;Large town;Single liv w partner: childr this union;99;Man;19;Professional (lawyer, etc.);3;1
BELGIQUE;Rural area or village;(Re-)Married: children this/prev marriage;21;Man;22;Unemployed, temporarily not working;10;1
BELGIQUE;Small/middle town;Single liv w partner: without children;22;Woman;55;Employed position, at desk;2;3
BELGIQUE;Rural area or village;Divorced/Separated: with children;17;Woman;53;Employed position, at desk;3;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;13;Man;30;Unskilled manual worker, etc.;2;1
BELGIQUE;Small/middle town;Single liv w partner: without children;13;Woman;50;Employed position, at desk;2;2
BELGIQUE;Small/middle town;(Re-)Married: without children;18;Man;72;Retired, unable to work;2;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;22;Man;57;Employed position, service job;3;2
BELGIQUE;Rural area or village;(Re-)Married: without children;19;Man;69;Retired, unable to work;2;3
BELGIQUE;Small/middle town;(Re-)Married: children this/prev marriage;19;Woman;46;Unemployed, temporarily not working;4;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;22;Woman;51;Middle management, etc.;4;2
BELGIQUE;Rural area or village;Widow: without children;15;Woman;83;Retired, unable to work;1;2
BELGIQUE;Large town;(Re-)Married: children this marriage;18;Woman;46;Middle management, etc.;5;3
BELGIQUE;Large town;(Re-)Married: without children;18;Woman;53;Unskilled manual worker, etc.;2;3
BELGIQUE;Rural area or village;Single: with children;25;Woman;45;Employed position, at desk;1;2
BELGIQUE;Rural area or village;Single: without children;25;Man;59;Middle management, etc.;1;2
BELGIQUE;Rural area or village;Single liv w partner: childr this union;20;Man;43;General management, etc.;3;3
BELGIQUE;Rural area or village;Single liv w partner: childr this union;22;Woman;41;Employed position, service job;3;2
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;45;Skilled manual worker;2;3
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;68;Retired, unable to work;2;1
BELGIQUE;Rural area or village;Single: without children;26;Man;80;Retired, unable to work;1;2
BELGIQUE;Rural area or village;Single liv w partner: without children;18;Man;33;Employed position, service job;2;3
BELGIQUE;Rural area or village;(Re-)Married: without children;22;Man;64;Retired, unable to work;2;2
BELGIQUE;Small/middle town;Single liv w partner: without children;16;Man;37;Unemployed, temporarily not working;1;5
BELGIQUE;Rural area or village;Single liv w partner: without children;18;Man;61;Owner of a shop, craftsmen, etc.;2;1
BELGIQUE;Rural area or village;(Re-)Married: without children;22;Woman;60;Responsible for ordinary shopping, etc.;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;24;Man;71;Retired, unable to work;2;3
BELGIQUE;Rural area or village;Single liv w partner: without children;21;Man;23;Employed position, service job;2;3
BELGIQUE;Large town;(Re-)Married: children this marriage;22;Woman;64;Responsible for ordinary shopping, etc.;3;2
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;70;Retired, unable to work;2;3
BELGIQUE;Rural area or village;Single liv w partner: childr this union;22;Woman;41;Employed position, at desk;2;5
BELGIQUE;Large town;Single liv w partner: without children;18;Woman;66;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;17;Woman;62;Retired, unable to work;2;2
BELGIQUE;Large town;Single liv w partner: without children;21;Man;60;Unemployed, temporarily not working;2;2
BELGIQUE;Small/middle town;Divorced/Separated: without children;18;Woman;60;Unemployed, temporarily not working;1;4
BELGIQUE;Small/middle town;Single liv w partner: without children;98;Woman;19;Student;4;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;22;Man;52;Employed position, at desk;1;2
BELGIQUE;Rural area or village;Divorced/Separated: with children;22;Woman;55;Owner of a shop, craftsmen, etc.;2;4
BELGIQUE;Large town;Single: without children;15;Woman;27;Unemployed, temporarily not working;1;3
BELGIQUE;Large town;Single liv w partner: without children;99;Man;27;Unemployed, temporarily not working;2;2
BELGIQUE;Small/middle town;Single: with children;27;Woman;28;Employed position, travelling;1;2
BELGIQUE;Large town;Widow: without children;14;Man;63;Unemployed, temporarily not working;1;2
BELGIQUE;Small/middle town;Single: without children;21;Man;50;Middle management, etc.;1;4
BELGIQUE;Rural area or village;Single: without children;98;Woman;19;Student;4;2
BELGIQUE;Large town;Divorced/Separated: with children;18;Woman;54;Employed position, service job;2;3
BELGIQUE;Rural area or village;Single: without children;17;Man;21;Unemployed, temporarily not working;2;1
BELGIQUE;Small/middle town;Single liv w partner: without children;22;Man;49;Employed position, service job;2;4
BELGIQUE;Large town;Single: without children;98;Man;19;Student;5;1
BELGIQUE;Large town;Divorced/Separated: with children;16;Woman;47;Employed position, service job;2;3
BELGIQUE;Large town;Single: without children;19;Woman;61;Unemployed, temporarily not working;1;2
BELGIQUE;Large town;Single liv w partner: without children;26;Woman;26;Unskilled manual worker, etc.;1;3
BELGIQUE;Small/middle town;Single: without children;38;Man;38;Responsible for ordinary shopping, etc.;1;1
BELGIQUE;Rural area or village;Single: without children;21;Man;37;Employed position, at desk;3;3
BELGIQUE;Large town;Single: without children;22;Man;56;Business proprietors, etc.;1;4
BELGIQUE;Large town;(Re-)Married: children this marriage;98;Man;18;Student;3;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;23;Woman;45;Employed position, at desk;4;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;21;Woman;55;Responsible for ordinary shopping, etc.;4;2
BELGIQUE;Small/middle town;(Re-)Married: children prev marriage;22;Man;45;General management, etc.;2;3
BELGIQUE;Small/middle town;Single liv w partner: without children;98;Woman;17;Student;4;2
BELGIQUE;Small/middle town;Single liv w partner: without children;16;Man;23;Skilled manual worker;1;3
BELGIQUE;Small/middle town;Single liv w partner: without children;16;Woman;26;Unemployed, temporarily not working;3;3
BELGIQUE;Rural area or village;(Re-)Married: without children;23;Woman;69;Retired, unable to work;2;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;20;Woman;50;Employed position, at desk;3;2
BELGIQUE;Small/middle town;Single: without children;15;Woman;83;Retired, unable to work;1;2
BELGIQUE;Rural area or village;Single liv w partner: without children;24;Man;64;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;20;Woman;55;Responsible for ordinary shopping, etc.;2;3
BELGIQUE;Large town;Single: without children;98;Woman;21;Student;2;2
BELGIQUE;Large town;Divorced/Separated: without children;23;Woman;71;Retired, unable to work;1;2
BELGIQUE;Large town;Single liv w partner: without children;25;Man;66;Retired, unable to work;1;3
BELGIQUE;Small/middle town;(Re-)Married: without children;18;Man;68;Owner of a shop, craftsmen, etc.;2;2
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;27;Responsible for ordinary shopping, etc.;2;5
BELGIQUE;Small/middle town;Divorced/Separated: with children;22;Woman;47;Middle management, etc.;2;5
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;38;Skilled manual worker;3;5
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;21;Woman;40;Employed position, service job;3;3
BELGIQUE;Rural area or village;Single liv w partner: childr prev union;21;Woman;49;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Single liv w partner: childr this union;19;Woman;46;Retired, unable to work;3;4
BELGIQUE;Small/middle town;Divorced/Separated: without children;17;Woman;59;Unemployed, temporarily not working;1;3
BELGIQUE;Rural area or village;Divorced/Separated: without children;18;Man;52;Employed position, travelling;1;2
BELGIQUE;Small/middle town;Single: without children;19;Man;35;Unemployed, temporarily not working;3;2
BELGIQUE;Large town;Divorced/Separated: without children;21;Woman;67;Retired, unable to work;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;22;Woman;58;Employed position, service job;2;3
BELGIQUE;Large town;Widow: with children;18;Woman;43;Retired, unable to work;2;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;24;Man;34;Employed position, at desk;2;4
BELGIQUE;Small/middle town;Single: without children;98;Woman;19;Student;3;2
BELGIQUE;Small/middle town;Divorced/Separated: without children;18;Woman;64;Employed position, at desk;1;2
BELGIQUE;Rural area or village;Widow: without children;14;Man;84;Retired, unable to work;1;2
BELGIQUE;Rural area or village;Widow: without children;16;Man;84;Retired, unable to work;1;3
BELGIQUE;Rural area or village;(Re-)Married: without children;17;Woman;64;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Widow: without children;14;Man;79;Retired, unable to work;1;3
BELGIQUE;Rural area or village;Single liv w partner: without children;18;Woman;28;Unemployed, temporarily not working;2;3
BELGIQUE;Rural area or village;Single: without children;17;Man;32;Unemployed, temporarily not working;1;3
BELGIQUE;Rural area or village;Single liv w partner: childr this union;19;Woman;27;Unemployed, temporarily not working;2;4
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;19;Woman;34;Skilled manual worker;2;4
BELGIQUE;Small/middle town;(Re-)Married: without children;16;Woman;65;Responsible for ordinary shopping, etc.;2;3
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;22;Man;45;Middle management, etc.;3;2
BELGIQUE;Rural area or village;Other (SPONT.);22;Man;26;Employed position, at desk;2;2
BELGIQUE;Small/middle town;Widow: without children;14;Woman;81;Retired, unable to work;1;2
BELGIQUE;Small/middle town;Widow: without children;15;Man;83;Retired, unable to work;1;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;18;Woman;39;Unemployed, temporarily not working;2;3
BELGIQUE;Small/middle town;(Re-)Married: without children;17;Man;66;Retired, unable to work;2;3
